AL HADEED TRADERS
Chart of Inventory Items
1 	OIl
8010004 	Room Spray Perfect
Air Freshener	802
8020001 	Air Freshener Olympic (Flamingo)
8020002 	Air Freshener Athens (Flamingo)
8020003 	Air Freshener Black odor BO-2
8020004 	Air Freshener Sameili X
8020005 	Air Freshene Mxxis
8020006 	Air Freshener Concept
8020007 	Air Freshener Black odor BO-1
Total Number of Items :- 11
9 	Cloth
Cloth Microfiber	901
9010001 	Cloth Microfiber 500g
9010002 	Cloth Microfiber 40x40 600g
9010003 	Cloth Microfiber 40x40 500g
9010004 	Cloth Microfiber 40x40 800g
Pleces Cloth	902
9020001 	Cloth KG
Page 7 of 8	Date 5/14/2026 	Printed By: Administrator

-- 7 of 8 --

9020002 	Soter Pes
9020003 	Cloth 50
Total Number of Items :- 	7
Page 8 of 8	Date 5/14/2026 	Printed By: Administrator

-- 8 of 8 --

